"";"*YEAR2019";"*YEAR2020";"*YEAR2021";"*YEAR2022";"*YEAR2023";"*YEAR2024";"*YEAR2025"
"incorporarse";1;2;3;0;4;6;3
"atracción";0;1;0;0;2;8;1
"adams";0;0;2;0;1;4;7
"movilidad";0;5;6;0;5;8;3
"center";0;5;17;0;12;43;12
"cft";0;0;0;0;0;42;1
"saint";0;0;0;0;5;3;2
"portfolio";0;0;0;0;0;10;2
"companies";0;0;7;0;0;1;4
"lázaro";0;0;0;0;0;14;2
"bbc";0;0;8;1;10;0;8
"garro";0;0;0;0;3;7;1
"aburto";0;0;0;0;3;6;1
"july";0;0;20;0;12;2;1
"estados unidos";0;2;0;0;2;14;1
"relacionales";1;0;1;0;2;9;2
"yen";0;1;0;0;0;5;5
"sintonía";0;0;0;0;3;8;4
"normalizar";0;1;1;2;1;8;9
"líquido";0;0;0;0;1;6;3
"bauman";0;0;0;0;1;11;3
"integralidad";4;0;2;0;0;3;1
"licenciado";0;0;1;0;8;8;3
"educadoras";0;0;0;0;1;8;1
"explorado";0;0;3;0;5;20;5
"triangulación";0;0;2;0;0;7;1
"colapso";0;0;1;0;4;10;2
"íntimo";0;0;2;0;0;5;3
"espiral";0;0;0;0;9;22;4
"jisc";0;0;2;0;0;4;5
"15366";0;0;0;0;0;11;1
"fragilidad";0;0;0;0;3;7;1
"boyd";1;0;6;0;0;2;1
"ariadna";0;0;0;0;9;0;1
"subjetividades";1;0;0;2;2;5;7
"enzo";0;0;0;9;0;1;0
"fernandez";0;0;0;7;1;8;1
"prólogo";0;0;4;6;9;40;7
"feliz";0;0;1;3;32;2;0
"célula";0;0;0;1;7;6;4
"mezclar";0;0;0;2;6;4;2
"mamá";0;0;0;1;3;7;0
"invención";0;0;2;1;9;8;4
"fascinación";0;0;0;1;4;5;4
"magia";0;0;1;2;20;2;0
"secreto";0;1;3;1;4;15;2
"espectáculo";0;0;1;1;5;0;6
"moneda";0;0;0;1;8;2;4
"isaac";1;4;2;1;7;3;0
"asimov";1;0;0;1;2;6;0
"instructivos";0;0;1;2;15;2;0
"java";0;0;0;1;2;7;0
"primo";0;1;1;1;2;8;1
"reflexionando";0;0;0;1;3;11;4
"mágico";0;0;1;1;9;7;11
"í";0;0;0;4;27;9;0
"verano";1;0;0;1;10;18;1
"fundador";0;0;2;3;10;14;1
"neurociencia";0;0;1;1;7;16;2
"acierto";0;0;0;2;8;9;4
"paradigmático";0;0;0;1;1;7;5
"blue";1;0;3;5;7;9;1
"campeón";0;0;4;2;5;4;1
"kasparov";0;0;2;3;3;3;0
"geometría";1;0;0;1;2;16;0
"basura";0;0;2;2;2;12;1
"anotar";0;0;0;12;13;6;2
"triste";0;0;1;4;5;2;0
"alegría";0;0;0;1;4;4;1
"cuán";0;0;4;4;3;8;2
"pronunciar";0;0;2;1;3;6;3
"agudo";0;2;0;2;1;2;3
"verde";0;0;2;1;11;20;3
"metro";0;3;0;1;2;7;0
"ojo";1;1;2;5;18;30;5
"idealmente";0;0;0;2;3;6;2
"evaluamos";0;0;0;1;5;6;6
"kg";0;0;0;12;0;2;0
"incluimos";0;0;0;1;5;5;0
"antemano";0;0;0;1;4;3;3
"asombroso";0;1;0;1;10;4;1
"jamás";0;0;0;1;4;7;1
"materna";0;0;3;2;4;3;0
"intencionalidad";0;0;0;2;3;4;10
"dilema";0;1;1;2;18;20;6
"preci";0;1;0;1;0;3;5
"dañino";0;0;5;3;1;10;4
"afortunado";0;1;0;2;4;5;0
"inaceptable";0;0;1;4;4;11;0
"gravedad";0;0;0;1;3;3;4
"invisible";0;0;4;2;9;11;12
"proveen";0;1;3;1;2;5;3
"ariel";0;1;0;1;8;9;5
"tir";0;4;0;1;14;22;2
"1a";0;0;0;1;2;6;1
"dir";0;0;0;1;13;2;1
"cdd";0;0;0;1;1;168;2
"compartirigual";0;0;0;1;2;8;4
"jim";0;0;0;0;5;3;2
"knight";0;0;2;0;0;4;4
"ltd";0;2;1;0;1;9;0
"prof";0;0;0;0;8;50;2
"pablo";0;0;2;0;5;5;7
"puro";0;0;0;0;8;5;3
"café";0;0;1;0;13;11;0
"vencer";0;0;4;0;4;7;0
"hipoteca";0;0;0;0;1;12;0
"pragmática";0;0;1;0;1;2;6
"intelecto";0;0;0;1;4;10;2
"einstein";0;0;0;0;48;5;0
"admisiones";0;0;1;0;9;7;1
"hebreo";0;5;1;0;0;3;2
"maduro";0;1;0;0;5;5;3
"bruner";0;0;0;0;11;5;0
"gesto";0;0;1;0;5;10;0
"lente";0;0;3;0;7;10;7
"desconectar";0;0;1;0;2;7;2
"ganador";0;2;2;0;6;6;11
"dolor";0;0;0;0;4;8;6
"automóvil";1;6;0;0;16;8;1
"estación";0;0;1;0;9;1;2
"accidente";0;2;0;0;16;18;0
"tranquilo";0;0;0;0;5;7;0
"west";0;0;1;0;4;4;3
"constatación";0;0;0;1;0;7;2
"empresario";0;1;1;0;6;9;1
"avalancha";1;0;0;0;0;6;3
"mentira";0;0;0;0;4;15;0
"epistemología";0;0;0;0;6;0;10
"epistemológicos";0;0;0;0;2;5;4
"resistente";0;0;2;0;2;7;3
"sembrar";0;0;0;0;11;1;1
"capitulo";0;0;0;0;17;1;0
"charlar";0;0;0;0;2;11;9
"spearman";0;0;0;0;0;10;0
"kuhn";0;0;2;0;0;25;0
"caminar";1;0;0;0;12;7;0
"hermano";0;0;0;1;5;8;0
"bosque";0;0;0;0;10;6;2
"esquina";0;1;0;0;8;6;0
"obsoletas";5;0;1;0;3;7;6
"construccion|construcción";0;0;2;0;5;10;0
"inmediatamente";0;2;1;0;5;9;4
"fotosíntesis";0;0;0;0;1;5;6
"circular";0;3;1;0;10;26;3
"guardián";0;0;2;0;2;8;3
"organizador";1;0;0;0;13;8;0
"epistemológica";0;0;0;0;1;10;6
"multidimensional";0;0;0;2;1;11;12
"dudoso";0;0;1;0;2;6;1
"1960";0;1;0;0;8;9;2
"sofisticación";0;0;5;0;1;18;8
"silencio";0;0;0;0;9;21;0
"multiplicidad";0;0;0;0;1;7;4
"puramente";2;0;5;0;5;4;5
"inventor";0;1;0;0;4;17;1
"ilusión";0;0;0;0;14;4;3
"frenar";0;2;1;0;10;7;3
"aristóteles";0;0;0;0;37;2;1
"modesto";0;2;0;0;2;5;1
"opuesto";0;0;1;0;9;6;1
"identificamos";0;0;0;0;1;10;0
"organizativo";0;1;0;0;2;15;1
"deficiente";0;1;2;0;3;6;8
"electoral";0;0;3;0;1;7;3
"mentores";0;1;3;0;5;14;4
"lazarus";0;0;0;0;0;12;0
"ryan";0;0;0;0;4;4;4
"peor";0;0;0;0;4;3;4
"oponente";0;0;0;0;16;6;0
"ontología";0;0;0;2;4;14;2
"richard";1;0;0;0;6;2;9
"albert";0;0;0;0;5;3;2
"imprecisiones";0;0;0;0;3;9;4
"calculadoras";0;0;0;0;3;7;2
"novelista";0;0;0;15;2;2;0
"interrogador";1;0;1;0;8;0;0
"alphago";0;0;7;0;3;3;0
"singularidad";0;0;0;0;4;19;1
"ibid";0;0;2;0;0;0;30
"descriptor";0;0;0;0;0;15;1
"sol";0;0;0;0;13;6;3
"xai";0;0;0;0;1;6;5
"race";0;0;4;0;5;7;1
"carretera";0;2;2;0;11;3;0
"laberinto";0;0;0;0;21;1;3
"rastrear";0;0;10;4;6;13;4
"matizar";0;1;2;0;3;13;8
"observables";0;0;0;0;8;6;1
"economist";0;1;3;0;3;4;0
"petróleo";0;2;0;0;9;6;0
"tarjeta";2;0;1;0;53;9;1
"alexa";0;3;26;1;15;13;4
"detenidamente";1;0;0;0;4;9;2
"interminable";0;0;0;0;3;8;0
"reducirse";1;1;1;0;1;4;2
"limpio";0;0;2;0;6;8;2
"cotejar";0;0;1;0;3;16;0
"descomposición";0;0;0;0;1;6;13
"macrodatos";0;6;18;4;1;9;0
"old";1;0;1;0;0;8;0
"vago";0;0;0;0;0;11;2
"fadel";0;0;1;0;2;9;9
"interdisciplinarios";0;2;2;0;7;23;22
"acumulación";0;1;2;0;5;11;9
"fragmentar";0;0;1;0;8;6;3
"brillante";0;0;0;0;2;11;1
"carnegie";0;3;0;0;9;13;1
"nd";0;4;0;1;1;5;0
"webb";0;0;0;0;3;5;2
"nesta";0;0;6;0;2;4;0
"cohen";0;0;10;0;2;12;1
"vergüenza";0;0;1;0;14;2;1
"singapur";0;3;8;0;13;10;0
"formuladores";0;1;0;0;4;8;5
"moderación";0;0;21;0;13;2;1
"descontextualizadas";0;0;0;0;0;3;7
"scott";0;0;2;0;3;7;3
"derrotar";1;0;1;0;9;3;0
"regulatoria";0;0;0;0;0;12;1
"inventario";0;0;0;0;5;4;1
"brookings";0;0;2;0;2;2;5
"ecología";0;1;0;0;18;6;2
"planetario";0;0;0;0;3;10;1
"restrictivo";0;0;1;0;0;2;14
"gps";0;0;1;0;8;1;3
"orquestar";0;0;0;0;2;8;0
"cultivo";0;1;2;0;5;9;8
"beneficiosas";0;0;0;0;1;4;5
"interdisciplinarias";0;0;3;0;6;11;9
"sandoval";0;0;0;1;5;5;0
"rediseñar";0;0;1;0;2;7;10
"gobernar";0;0;4;0;14;32;1
"house";0;0;0;0;9;8;1
"tormenta";0;0;0;0;7;5;1
"dramático";0;0;1;0;4;3;4
"repercutir";0;0;3;0;4;7;3
"desfavorecido";0;2;5;0;8;18;6
"fraser";1;0;0;0;0;15;0
"aleatoria";0;0;0;0;7;11;2
"recortar";0;0;1;0;1;10;0
"controvertir";0;0;3;0;7;5;2
"reimaginar";0;0;1;0;0;11;18
"recordatorio";0;0;0;0;2;7;1
"arma";0;3;2;0;0;9;1
"reinventar";1;0;0;0;3;5;5
"billones";0;3;1;0;6;10;0
"mclaren";0;6;3;0;6;0;0
"dg";0;0;0;0;1;30;0
"ch";0;0;2;0;6;7;1
"rodrigo";0;0;1;0;1;14;4
"org";0;0;14;0;53;77;30
"autorregulado";0;0;1;0;15;2;6
"tg";0;0;0;0;2;31;0
"journals";0;0;1;0;1;16;3
"wall";0;0;6;0;2;3;0
"explainable";0;0;1;0;1;6;4
"ct";0;0;1;0;0;9;0
"senior";0;1;2;0;2;11;4
"inscripción";0;3;1;0;11;11;3
"tel";0;7;0;0;2;6;2
"rediseño";0;0;0;0;4;9;7
"unleashed";0;1;2;0;1;7;0
"technologyreview";0;2;7;0;5;1;2
"elsevier";0;0;13;0;2;9;1
"cornell";0;0;4;0;0;9;7
"sistémico";1;0;2;0;1;19;10
"cr";0;0;0;0;2;34;0
"economista";4;0;1;0;6;9;0
"leaders";0;0;0;0;1;5;30
"economy";0;2;4;0;2;6;5
"boston";1;0;6;0;5;6;4
"really";0;0;0;0;1;2;12
"vocacional";0;0;1;0;1;33;0
"weforum";0;1;5;0;6;2;4
"deficit";0;0;0;0;0;10;0
"maddy";0;0;0;0;0;14;0
"dwyer";0;0;2;0;0;19;2
"elizabeth";0;0;0;0;5;18;0
"laird";0;0;0;0;0;19;2
"explosión";0;1;1;1;5;16;6
"chapman";0;0;0;0;0;8;2
"threats";0;0;1;0;1;4;4
"ineficaz";0;1;0;0;1;4;5
"bloquear";0;0;4;0;10;7;7
"implemente";0;0;0;0;4;4;4
"acusar";0;0;1;0;3;7;1
"hannah";0;4;0;0;1;6;0
"erosión";0;1;0;0;3;3;3
"suite";0;0;0;0;0;12;4
"mariano";0;0;0;0;7;6;4
"terremoto";0;0;0;0;15;1;0
"utopía";0;0;0;0;3;10;9
"glosario";0;0;10;4;16;20;6
"extrapolar";0;0;1;0;4;5;0
"frágil";0;0;1;0;4;9;0
"rígido";0;2;0;0;2;3;8
"unidireccional";0;0;1;0;5;3;6
"ruptura";0;0;0;0;4;2;6
"douglas";0;0;2;0;8;3;0
"bolígrafos";0;0;0;0;16;0;0
"oficio";0;0;0;0;6;5;3
"encender";0;0;0;0;8;4;1
"obsoletos";2;0;0;0;4;5;6
"sedentarismo";0;0;0;0;6;0;4
"fuego";0;0;1;0;4;9;1
"anular";1;0;1;0;5;2;2
"tantes";0;2;0;0;12;8;1
"consensuar";0;0;0;0;5;10;8
"league";0;0;1;0;1;16;0
"fracasar";0;1;3;0;2;3;3
"michael";0;0;5;0;5;6;2
"prescindir";0;0;0;0;3;5;4
"vendar|vender";1;0;5;0;5;3;0
"civilización";0;0;0;0;18;20;8
"salar";0;0;1;0;3;6;0
"rendir";0;0;2;1;4;13;1
"objeción";0;0;1;0;4;2;3
"sócrates";0;0;0;0;3;1;6
"socrático";0;0;1;0;7;5;3
"chatear";0;0;0;0;10;2;3
"relatividad";0;0;0;0;14;1;0
"explicitar";0;0;0;0;3;8;3
"calibrar";0;1;1;0;2;7;0
"patio";0;0;0;0;3;13;0
"ludmila";0;0;0;0;4;10;0
"lmi";0;0;0;0;20;22;0
"pid2019";0;0;0;0;8;4;0
"104285gb";0;0;0;0;8;4;0
"chomczyk";0;0;0;0;0;10;0
"mariana";0;0;0;0;5;10;3
"ferrarelli";0;0;0;0;8;32;0
"juliana";0;0;0;0;1;10;0
"raffaghelli";0;0;0;0;3;42;0
"soledad";0;0;0;0;4;7;1
"paola";0;0;0;0;2;16;1
"ricaurte";0;0;0;0;0;27;0
"xavier";0;0;0;0;2;7;1
"creativecommons";0;1;2;1;8;9;5
"licenses";0;2;2;1;8;9;5
"educació";0;0;0;0;5;18;1
"mariona";0;0;0;0;3;26;0
"grané";0;0;0;0;3;7;0
"potenciados";0;3;0;0;4;7;6
"é";0;0;0;0;6;17;7
"hugo";0;0;1;1;5;6;1
"radar";0;0;0;0;2;17;0
"bartolomé";0;0;0;0;10;13;0
"licenciar";0;0;0;0;1;18;3
"wordpress";0;0;0;0;1;14;1
"neutralidad";0;0;1;0;7;4;2
"solucionismo";0;0;0;0;0;10;1
"cuadrante";0;0;0;0;0;14;0
"determinismo";0;0;5;0;2;3;1
"datificación";0;0;0;0;0;36;1
"capitalismo";0;0;0;0;17;11;15
"micas";0;1;0;0;1;9;0
"educacióncapítulo";0;0;0;0;0;92;0
"implementadas";0;1;0;0;2;20;8
"1aspectos";0;0;0;0;0;10;0
"aspec";0;0;0;0;5;7;1
"cope";0;0;0;0;1;18;0
"líticas";0;3;0;0;1;4;2
"zimmerman";0;0;0;0;16;2;0
"lluch";0;0;0;0;9;3;0
"durall";0;0;0;0;21;3;0
"dashboards";0;0;1;0;1;2;7
"profun";0;0;0;0;1;7;3
"alfabetismos";0;0;0;0;19;7;0
"cuestionarnos";0;0;0;0;1;5;4
"ferguson";0;1;2;0;5;5;0
"cit";0;0;0;0;0;6;48
"imperioso";1;1;0;0;0;7;4
"sustentabilidad";0;0;0;0;1;8;2
"medioambiente";0;0;0;0;3;7;5
"ask";0;0;1;0;3;5;1
"injusticia";0;0;2;0;7;25;4
"reconfigurando";0;0;0;0;1;7;2
"cat";0;0;0;0;3;20;1
"idp";0;0;0;0;0;18;0
"izar";0;0;0;0;1;16;1
"rienties";0;1;2;0;2;5;1
"vuorikari";1;2;3;0;0;10;0
"dashboard";0;0;1;0;4;5;0
"herodotou";0;0;2;0;3;3;2
"youtu";0;0;0;0;3;11;0
"improvisar";1;0;0;0;3;7;2
"biesta";0;0;0;0;17;8;0
"sensor";0;0;0;0;15;5;0
"tuomi";1;11;3;0;1;3;4
"cuantificables";0;0;1;0;1;11;2
"espectacular";0;0;3;0;3;4;3
"especulación";0;0;1;0;2;6;3
"explotación";1;1;3;0;6;29;8
"wayne";0;0;2;0;6;3;6
"hype";0;0;0;0;1;10;3
"williamson";0;0;2;0;11;22;2
"klein";0;0;6;0;0;5;0
"delinear";0;0;0;0;1;9;4
"ensamblajes";0;0;0;0;3;10;1
"sociotécnicos";0;0;0;0;1;17;0
"3aspectos";0;0;0;0;0;20;0
"outputs";0;0;0;0;6;6;10
"aspiración";0;0;1;0;1;7;6
"aprendiza";0;1;1;0;6;15;5
"postdigital";0;0;0;0;0;28;0
"alarma";0;0;1;0;8;7;0
"operations";0;1;0;0;1;10;6
"beca";0;4;3;0;10;7;0
"temporalidad";1;0;0;0;0;7;2
"definimos";0;0;0;0;1;10;3
"implicancias";0;0;23;0;19;24;8
"lion";0;0;0;0;0;10;0
"antropológico";0;0;0;0;9;1;0
"centralidad";0;0;0;0;2;10;1
"recolectan";0;0;1;0;0;8;2
"barbero";0;0;0;0;0;4;6
"entablar";0;1;1;1;6;5;3
"paridad";0;0;7;1;1;4;0
"corrupción";0;12;2;0;0;5;1
"plurales";0;0;0;0;3;7;0
"generati";0;0;0;0;0;5;5
"institucio";0;3;0;0;1;8;1
"agravar";0;2;3;0;5;10;4
"salesforce";0;1;0;0;1;10;1
"nacio";0;8;0;0;0;3;3
"soberanía";0;0;0;0;3;16;8
"capitalista";0;0;0;0;4;6;5
"benjamin";0;0;2;0;1;12;0
"sobrar";1;0;0;0;1;14;0
"anijovich";0;0;0;0;6;9;0
"detenerse";0;0;0;0;2;6;2
"admisión";0;2;1;0;12;17;2
"devolución";0;0;0;0;5;5;3
"ño";0;0;0;0;0;7;8
"empeño";0;0;0;0;3;4;5
"infancias";0;0;0;0;0;6;30
"recorrido";0;0;0;0;0;5;5
"constitutivo";0;0;2;0;5;11;3
"lentitud";0;1;0;0;1;8;3
"emancipación";0;0;0;0;1;4;8
"sarrollo";0;4;2;0;2;6;1
"bender";0;0;0;0;8;4;0
"habitar";0;0;0;0;1;10;4
"mandato";0;2;15;0;5;13;1
"dali";0;0;0;0;0;18;0
"modernity";0;0;0;0;0;10;0
"fluido";0;1;1;0;6;7;4
"edutec";0;0;0;0;2;41;0
"latin";0;2;0;0;6;6;5
"profesionalismo";0;0;0;0;7;7;0
"resonar";0;0;0;0;2;8;2
"digitalizar";0;1;1;0;1;7;3
"mooc";0;0;0;0;14;9;3
"4aspectos";0;0;0;0;0;12;0
"discriminar";0;0;7;0;5;5;8
"divergente";1;1;0;0;1;5;4
"stewart";0;0;0;0;5;5;0
"zuboff";0;0;0;0;2;5;3
"uganda";0;0;5;0;7;1;0
"violar";0;0;11;1;8;7;2
"exploramos";0;0;1;0;1;12;1
"reconsiderar";2;0;0;0;0;10;5
"dialógica";0;0;0;0;1;40;2
"caos";0;0;0;0;12;6;1
"áfrica";0;0;88;0;37;13;0
"denunciar";0;0;0;0;1;7;8
"renuncia";0;0;0;0;4;7;0
"iberoamérica";0;0;0;0;3;12;4
"thy";0;0;0;0;10;1;0
"ec";0;1;4;9;13;20;4
"shum";0;0;0;0;4;7;1
"card";0;0;2;0;0;9;0
"penguin";0;0;4;0;11;4;7
"cluster";0;0;2;2;1;5;0
"fei";0;0;4;0;2;4;0
"continente";0;2;16;1;7;10;0
"june";0;0;18;0;67;5;2
"hub";0;0;1;0;0;11;2
"punie";1;0;2;0;0;18;0
"2760";1;0;0;0;3;6;0
"frontier";0;6;7;0;0;7;3
"bilingüe";0;0;0;0;1;7;2
"gadgets";0;0;0;0;9;1;0
"cable";0;0;0;0;6;4;0
"reguladoras";0;2;0;0;3;5;0
"volverse";1;0;0;0;2;9;5
"omnipresencia";0;0;0;0;0;8;4
"ideología";0;0;2;0;12;11;0
"interconexión";0;0;0;0;4;13;0
"recer";0;0;0;0;0;10;0
"espectador";0;0;1;0;2;12;9
"stefania";0;0;1;0;5;9;0
"religión";0;1;6;0;5;9;2
"reglamentación";0;0;3;0;3;7;0
"6aspectos";0;0;0;0;0;14;0
"identificable";0;0;2;1;4;5;1
"2021a";0;0;0;0;2;12;0
"infracción";0;0;0;0;2;27;1
"intermediario";0;0;14;0;0;5;6
"interoperabilidad";0;1;7;0;3;12;1
"prestación";0;2;3;2;4;17;3
"notificar";0;0;2;3;0;12;2
"retirar";0;1;4;0;8;5;1
"autonómico";0;0;0;0;0;11;0
"amsterdam";0;0;1;0;1;10;0
"2022a";0;0;0;0;0;17;0
"organizativas";0;0;1;1;2;6;1
"apresurar";0;0;1;0;3;4;4
"guia";0;0;0;0;3;13;4
"protecting";0;0;9;0;1;3;6
"commission";0;0;9;0;7;14;5
"identified";0;0;0;0;1;7;5
"board";0;1;5;0;0;6;0
"dawson";0;0;0;0;5;5;0
"selfie";0;0;0;0;0;11;0
"portafolio";0;0;2;0;7;17;11
"7aspectos";0;0;0;0;0;12;0
"entrelazan";0;0;1;0;0;9;1
"citizenship";0;0;0;0;1;7;2
"omnipresentes";0;0;1;0;1;2;6
"esconder";0;0;3;0;11;6;0
"ineludible";0;0;0;0;1;11;8
"fragmentación";0;1;3;0;2;6;1
"transversalidad";6;0;0;0;1;5;1
"clústeres";0;0;0;0;0;29;4
"b3n";0;2;0;3;1;5;0
"llamativas";0;0;0;0;1;12;4
"abundar";0;0;0;0;3;3;4
"preservando";0;0;0;0;2;7;2
"ticipar";0;0;0;0;7;6;2
"oa";0;0;0;0;2;11;1
"drivers";0;1;2;0;0;7;0
"decolonial";0;0;0;0;21;2;0
"8aspectos";0;0;0;0;0;10;0
"alusión";0;0;0;0;1;8;1
"ife";0;0;0;0;0;1;11
"2021b";0;0;0;0;2;10;0
"físicamente";0;0;0;0;4;7;3
"11285";0;0;0;0;0;10;0
"instrument";0;0;2;0;0;11;1
"mamani";0;0;0;0;0;11;0
"br";0;0;5;0;0;21;79
"ou";0;0;4;0;2;9;4
"bitácora";0;0;0;0;0;118;0
"sp";0;0;4;0;7;6;9
"reader";0;0;0;0;2;6;2
"5360";0;0;0;0;0;110;0
"alexandre";0;0;0;0;0;2;19
"revisores";0;0;1;0;3;16;2
"chatpdf";0;0;0;0;1;27;1
"copyscape";0;0;0;0;0;16;0
"hemingway";0;0;0;0;0;17;0
"humata";0;0;0;0;2;22;0
"prowritingaid";0;0;0;0;0;14;0
"rytr";0;0;0;0;4;16;2
"scholarcy";0;0;0;0;1;17;0
"smodin";0;0;0;0;0;14;0
"wordai";0;0;0;0;0;17;0
"litmaps";0;0;0;0;0;15;0
"craiyon";0;0;0;0;2;19;0
"dreamstudio";0;0;0;0;3;17;0
"neurogen";0;0;0;0;0;15;0
"nightcafe";0;0;0;0;2;11;0
"sensei";0;0;0;0;0;23;1
"animaker";0;0;0;0;0;14;0
"gitmind";0;0;0;0;0;21;0
"lumen5";0;0;0;0;0;15;1
"piktochart";0;0;0;0;0;14;1
"slidesai";0;0;0;0;2;20;0
"starryai";0;0;0;0;0;16;0
"vosaic";0;0;0;0;0;13;0
"codesquire";0;0;0;0;0;13;0
"phind";0;0;0;0;0;12;0
"tabnine";0;0;0;0;0;14;2
"cuenti";0;0;0;0;0;13;0
"diffit";0;0;0;0;0;15;1
"nearpod";0;0;0;0;0;13;0
"planeo";0;0;0;0;0;14;0
"questionwell";0;0;0;0;0;12;0
"quizbot";0;0;0;0;1;15;0
"socrative";0;0;0;0;0;16;1
"wiris";0;0;0;0;0;10;0
"travesía";0;0;0;0;2;9;0
"potenciadas";0;1;1;0;0;7;7
"bruno";0;0;0;0;3;4;10
"latour";0;0;0;0;2;6;8
"encrucijada";0;0;0;0;3;10;3
"faro";0;0;1;0;1;13;9
"foucault";0;0;2;0;4;3;2
"poesía";0;0;1;1;6;5;0
"sonarqube";0;0;0;0;8;1;1
"diversificación";0;1;0;0;4;20;2
"estilística";0;0;0;0;0;30;0
"lugo";0;0;0;0;3;8;2
"conformidad";0;2;7;1;0;15;0
"url";0;2;0;0;2;17;0
"cor";0;2;0;1;1;10;1
"referenciar";0;0;0;1;1;6;3
"estandarización";0;0;0;1;1;8;5
"premium";0;0;0;0;3;10;2
"escanear";0;0;0;0;2;10;0
"asemejar";0;0;0;0;2;12;2
"recomen";0;1;0;0;0;9;0
"mendeley";0;0;0;0;6;4;0
"navegador";0;0;0;0;5;8;1
"echar";0;0;7;1;6;9;0
"sinónimos";0;0;1;0;5;6;0
"funcio";0;1;0;0;2;10;1
"chrome";0;0;0;0;1;10;1
"gmail";0;0;0;0;7;10;0
"abreviatura";0;0;4;0;1;4;1
"gigante";0;2;2;0;6;7;1
"researchrabbit";0;0;0;0;0;12;0
"israel";0;81;1;0;4;8;3
"decodificador";0;0;0;0;0;10;0
"beta";0;0;0;0;4;7;3
"bubble";0;0;2;0;2;1;7
"combinen";0;0;2;0;1;5;8
"generator";0;0;0;0;0;4;7
"magic";0;0;0;0;5;3;2
"genai";0;0;0;0;0;73;1
"impulsor";1;2;1;0;3;7;0
"persuasiva";0;0;0;0;4;6;1
"peach";0;0;0;0;0;11;0
"cedillo";0;0;0;0;1;12;0
"lógicamente";0;1;0;0;0;8;1
"agrícola";1;1;5;0;2;9;0
"asequible";0;1;11;0;3;14;4
"rentable";0;0;1;0;2;6;1
"trazabilidad";0;0;0;1;1;31;0
"banca";0;0;1;1;2;11;0
"clusterización";0;0;0;0;0;7;11
"manufactura";0;4;3;0;1;5;0
"modelización";0;0;0;0;1;20;1
"mapear";0;0;1;0;3;7;4
"climática";0;0;0;0;0;12;2
"tempo";0;0;0;0;1;2;7
"pronosticar";0;0;1;1;8;6;0
"coexistir";0;0;0;0;3;6;2
"reloj";2;0;0;1;2;10;0
"colombiano";0;11;0;0;3;8;1
"flacso";0;0;0;0;4;30;0
"population";0;0;4;0;1;26;0
"controlled";0;0;0;0;2;7;1
"pájaro";0;0;0;0;19;13;0
"finlandia";6;6;3;0;13;11;0
"medibles";0;0;1;0;1;7;9
"gustavo";0;0;0;0;7;7;1
"laia";0;0;0;0;4;41;0
"alejandra";0;0;0;0;4;14;7
"catedrático";0;0;1;0;1;10;0
"dl";0;0;0;0;3;3;4
"cortana";0;1;5;1;5;1;0
"clasificarse";0;0;3;0;1;5;1
"winkler";0;0;0;0;18;0;0
"söllner";0;0;0;0;18;0;0
"wollny";0;0;0;0;9;4;0
"brustenga";0;0;0;0;10;3;0
"georgia";0;2;2;0;11;9;0
"deakin";0;0;2;0;14;2;0
"calendario";0;0;1;0;3;3;3
"inmediatez";0;0;0;0;8;10;8
"codiseño";0;0;0;0;21;9;0
"ubicuo";0;0;1;1;1;2;10
"azure";0;0;3;0;3;7;1
"futuroscapítulo";0;0;0;0;56;0;0
"tfm";0;0;0;0;1;15;3
"acp";0;0;0;0;7;1;2
"2chatbots";0;0;0;0;12;0;0
"teachable";0;0;2;0;17;16;0
"duolingo";0;0;2;0;2;19;0
"ferroso";0;0;0;0;10;0;0
"repasar";0;0;0;0;6;6;9
"implantar";0;3;3;2;10;10;3
"hola";0;0;1;0;7;7;3
"culpar";0;0;0;0;7;2;4
"cycle";0;0;0;0;2;8;0
"reasoning";0;0;0;0;3;8;2
"emt";0;0;0;0;1;24;0
"preestablecidas";0;0;0;0;6;5;0
"3chatbots";0;0;0;0;12;0;0
"batista";0;0;0;0;3;7;0
"cocreadores";0;0;0;0;1;19;0
"jo";0;1;0;0;2;4;3
"gasto";0;6;2;0;7;10;8
"impar";0;0;0;0;3;5;24
"proactividad";0;1;0;0;3;5;2
"urgir";0;0;0;0;3;4;4
"private";0;0;3;0;2;11;12
"consumers";0;0;0;0;2;10;0
"adop";0;8;0;0;2;4;1
"longitudinal";0;0;0;0;2;8;6
"enterprise";0;0;0;0;2;5;11
"planeación";0;0;0;0;4;16;3
"graham";0;0;3;0;5;2;1
"4chatbots";0;0;0;0;13;0;0
"labs";0;1;4;2;7;3;2
"iso";0;0;0;0;3;10;0
"suficiencia";0;0;0;0;2;10;0
"presionar";1;1;1;0;4;5;3
"aws";0;0;2;0;7;12;0
"procedencia";0;0;0;0;5;5;1
"icesi";0;0;0;0;4;9;0
"constructivismo";0;0;0;0;6;8;0
"evaluativo";0;0;0;0;6;2;6
"5chatbots";0;0;0;0;10;0;0
"entende";0;0;0;0;2;10;0
"focalizar";0;0;0;0;1;9;0
"cíclico";0;0;1;0;10;1;0
"eduguia";0;0;0;0;13;0;0
"evaluativos";0;0;0;0;3;7;2
"uc";0;0;1;0;6;4;2
"individualizar";0;0;1;0;4;16;2
"copy";0;0;0;0;5;7;4
"degrees";0;0;0;0;5;6;1
"iesalc";0;0;0;0;79;14;1
