"";"*YEAR2018";"*YEAR2019";"*YEAR2020";"*YEAR2021";"*YEAR2022";"*YEAR2023";"*YEAR2024";"*YEAR2025"
"110";4;0;0;3;0;3;17;13
"111";8;0;0;2;0;5;19;12
"clásico";7;0;0;4;0;28;36;15
"112";11;0;0;3;0;7;18;3
"113";14;0;0;4;0;5;17;10
"corriente";5;1;0;2;1;38;25;13
"114";12;0;0;4;0;3;12;9
"116";9;0;0;3;0;5;10;12
"evalúen";0;0;0;0;0;14;22;6
"117";12;0;0;3;2;2;13;6
"acontecimiento";1;0;0;5;0;5;11;5
"118";8;0;0;1;0;2;12;9
"reflexionar";7;2;0;6;2;105;154;112
"119";6;0;0;3;0;2;14;10
"contribución";4;0;7;9;1;31;84;40
"biografía";0;0;0;0;0;2;20;3
"logro";24;1;2;17;1;40;69;37
"adaptación";1;5;7;2;2;47;250;133
"puesta";6;1;1;2;0;20;40;43
"121";14;0;0;1;0;4;12;17
"podcasts";0;0;0;0;0;3;5;24
"literario";3;0;0;0;3;23;47;15
"grabar";0;0;0;6;0;4;23;6
"podcast";0;0;0;0;0;4;12;48
"123";4;0;0;1;0;1;23;6
"narrativa";6;0;0;0;0;1;73;30
"124";13;0;0;0;1;1;9;4
"influencia";13;2;0;4;2;31;65;36
"movimiento";39;1;3;14;1;98;56;30
"125";14;0;3;3;4;1;13;9
"entrenador";19;0;0;0;0;10;10;1
"126";13;0;0;0;0;0;14;4
"corporal";3;0;1;1;0;6;13;5
"127";9;0;0;2;0;0;19;5
"teatro";7;0;0;1;0;10;7;4
"128";17;0;2;2;1;3;10;10
"grupal";1;0;0;0;0;4;19;19
"129";7;0;0;2;0;3;14;8
"deportar";26;0;0;1;1;6;59;70
"130";16;0;1;2;0;1;15;8
"balón";27;0;0;0;0;0;1;0
"131";10;0;0;2;2;1;8;9
"partido";39;0;1;0;0;1;37;8
"deportivo";10;0;0;1;0;2;20;16
"táctica";24;0;0;0;0;7;9;2
"132";11;1;0;1;0;5;16;11
"134";4;0;0;2;1;0;9;9
"135";8;0;1;1;1;4;11;7
"dibujar";3;0;0;1;7;17;23;6
"tridimensionales";0;0;0;1;0;3;6;3
"136";11;0;0;1;0;5;10;5
"trazo";0;0;0;0;0;8;4;0
"curva";6;0;0;1;0;8;12;5
"lápiz";4;0;0;0;0;22;4;2
"137";11;0;0;2;0;2;15;11
"proporción";2;0;2;7;1;14;24;48
"138";9;0;0;1;0;1;12;7
"lineal";10;1;0;2;0;23;43;25
"álgebra";0;1;0;1;0;2;11;5
"139";16;0;1;3;0;1;14;8
"140";7;0;0;0;1;0;11;9
"141";2;0;1;1;0;5;18;9
"racional";29;0;0;0;0;19;20;16
"142";2;0;0;0;0;0;12;7
"simplificación";1;0;0;1;0;3;13;14
"143";2;0;0;2;1;3;13;8
"144";3;0;1;2;0;2;11;9
"145";2;0;0;2;0;0;21;4
"mapa";36;1;3;9;11;94;64;35
"146";3;0;0;1;0;1;12;5
"147";3;0;0;3;0;2;9;6
"distribución";16;0;0;3;4;41;77;30
"normal";4;3;0;1;0;14;18;10
"148";2;0;1;2;0;1;9;8
"149";2;0;0;4;0;2;10;6
"150";6;0;4;4;9;4;13;15
"muestreo";0;0;0;0;0;14;13;11
"151";2;0;0;4;0;5;10;6
"152";2;0;0;3;0;4;10;8
"153";3;0;0;2;0;1;5;11
"154";2;0;0;4;1;1;9;11
"temporal";5;0;0;3;24;11;60;30
"155";3;0;0;1;0;0;10;9
"derivación";0;0;0;0;0;1;7;2
"157";2;0;0;1;1;4;13;10
"158";2;0;0;3;9;2;4;7
"159";3;0;0;4;0;3;11;6
"implícito";2;1;2;4;0;4;50;6
"161";1;0;0;3;0;0;4;9
"162";2;0;0;2;2;2;8;8
"163";1;0;0;2;0;3;8;6
"164";2;0;0;1;0;0;5;7
"165";1;0;0;1;2;2;8;6
"pronunciación";0;0;1;1;4;1;7;8
"166";1;0;0;1;0;2;10;4
"168";1;0;0;2;0;3;8;5
"auditivo";0;0;0;0;1;4;14;7
"auditivas";1;0;0;0;0;2;35;1
"169";2;0;2;1;1;2;8;14
"170";3;0;0;1;2;2;4;5
"172";1;0;0;1;0;0;7;12
"173";2;0;0;2;1;1;9;9
"viabilidad";0;0;1;1;0;6;31;7
"174";1;0;1;1;1;6;7;2
"multidisciplinaria";1;0;0;0;0;3;13;1
"multidisciplinario";2;0;0;1;0;3;28;4
"beneficio";36;0;45;52;4;108;416;166
"175";2;0;1;3;0;4;18;7
"guiar";5;0;5;5;2;41;179;96
"176";1;0;0;1;0;2;12;3
"síntesis";0;0;1;0;2;35;111;30
"insertar";1;0;0;2;0;2;19;12
"esencia";12;0;0;0;1;23;48;29
"177";1;0;2;1;0;1;3;6
"basándote";0;0;0;0;0;0;10;0
"exhaustivo";7;0;0;11;2;16;53;27
"178";1;0;0;3;1;3;4;7
"aplicarse";8;1;2;7;7;8;26;9
"179";1;0;0;4;0;0;8;7
"pros";0;0;1;0;0;4;6;4
"contras";0;0;0;0;0;5;6;4
"cualitativo";4;1;0;1;3;13;140;62
"cuantitativo";6;0;0;1;2;10;50;20
"mixto";1;0;0;0;0;13;98;14
"medición";18;0;1;2;4;11;50;30
"180";1;0;0;1;6;3;11;5
"181";3;0;0;4;0;1;6;9
"182";1;0;0;2;1;3;6;11
"enfocándose";0;0;0;0;0;2;20;12
"183";1;0;0;2;0;1;6;6
"amenaza";8;0;4;11;0;41;66;38
"184";1;0;0;1;0;0;7;11
"afrontar";18;0;2;2;0;21;57;24
"explotar";3;1;2;4;3;6;16;4
"185";2;0;1;0;0;4;4;7
"asesoría";0;0;0;0;0;3;7;4
"186";1;0;0;1;0;2;4;2
"design";0;0;1;4;0;60;90;89
"workshop";0;0;0;2;2;4;6;5
"187";2;0;0;1;0;1;7;4
"188";2;0;0;1;0;2;4;3
"crítica";8;0;2;7;1;26;92;68
"189";1;0;0;2;0;0;15;8
"190";2;0;0;2;0;1;9;2
"191";1;0;0;0;0;0;12;8
"segmento";0;0;1;0;0;5;24;60
"192";1;0;0;0;0;1;4;6
"organizacionales";1;0;0;1;0;3;7;2
"194";1;0;1;0;0;2;11;12
"195";2;0;0;3;0;0;5;6
"organizacional";0;0;0;0;0;3;27;13
"196";1;0;1;0;0;0;11;5
"197";2;0;0;2;0;1;10;9
"198";2;0;0;0;0;2;6;8
"elemental";2;1;2;0;0;2;5;0
"actitud";12;4;0;3;2;38;160;96
"taxonomía";7;0;0;0;2;6;11;11
"199";2;0;2;0;0;2;9;4
"reflejar";23;2;5;20;1;66;233;147
"contemplar";2;0;2;0;0;11;68;29
"cognitivos";16;2;0;0;1;30;44;19
"adaptable";3;0;1;0;1;20;22;16
"rango";4;0;0;2;9;4;20;18
"alineada";1;0;0;0;0;2;16;19
"vanguardia";5;0;1;6;0;14;39;21
"diseñarse";3;0;0;3;0;4;8;2
"201";2;0;0;0;0;1;5;6
"asegúrate";0;0;0;0;0;13;34;4
"contextualización";4;0;0;2;1;1;24;15
"perfeccionamiento";0;0;0;4;0;0;6;11
"inherentemente";1;1;1;2;0;1;7;4
"propiciar";1;0;1;3;0;13;57;19
"referencial";0;0;0;0;0;0;39;5
"decálogo";0;0;0;0;0;0;9;3
"quehacer";0;2;0;0;1;1;31;11
"respeto";2;0;2;6;3;13;65;34
"dignidad";0;0;0;3;1;5;22;11
"alejar";9;0;1;0;1;15;24;13
"ofensivo";0;0;0;3;0;3;3;6
"incorrecto";2;2;1;2;1;19;39;24
"sensible";10;0;0;7;3;10;52;29
"autonomía";1;2;4;12;2;37;114;120
"ceder";4;0;0;0;0;6;40;7
"provocar";23;0;6;3;2;29;77;25
"reputación";1;0;0;2;0;6;12;8
"igualdad";3;0;8;114;1;37;59;21
"libertad";10;1;2;103;1;37;51;24
"colectivo";9;0;2;14;4;29;133;57
"equilibrio";10;1;4;8;0;27;56;58
"atribución";0;0;0;1;8;9;22;13
"proteger";31;0;4;29;7;43;152;62
"tradición";7;1;1;0;0;11;27;26
"tec";0;0;8;1;2;18;75;50
"mx";0;0;7;0;0;15;75;46
"integridad";2;0;0;3;2;41;154;95
"septiembre";9;1;2;5;0;22;45;18
"bit";1;0;0;2;0;24;114;81
"ly";0;0;0;1;0;20;100;69
"lanzamiento";0;1;1;3;0;12;34;13
"imprimir";5;0;0;0;1;26;23;7
"ejemplar";0;0;0;0;0;5;10;3
"carlos";4;1;0;0;1;23;52;10
"lopezosa";0;0;0;0;0;5;26;5
"manuel";0;0;3;0;0;11;37;9
"goyanes";0;0;0;0;0;0;11;0
"lluís";0;0;0;0;0;5;5;0
"codina";0;0;0;0;0;12;20;0
"universitat";1;0;0;0;1;29;74;27
"barcelona";62;0;0;0;1;49;118;13
"palau";1;0;0;0;0;5;4;6
"creative";2;0;3;0;1;27;51;27
"commons";2;0;3;2;1;22;34;12
"nc";0;0;4;0;2;9;22;14
"sa";0;1;5;6;2;20;29;29
"metodológicos";0;0;0;0;0;1;29;12
"incrementar";2;1;7;2;0;22;68;37
"visibilidad";0;1;1;4;2;4;10;7
"i00";0;0;0;0;0;8;5;1
"ministerio";2;0;27;25;3;27;111;58
"españa";21;0;5;1;15;30;189;78
"pompeu";0;0;0;0;0;6;9;0
"fabra";0;0;0;0;0;6;9;2
"doctoral";0;0;0;1;0;4;10;8
"posicionamiento";1;0;1;2;0;6;15;12
"impartir";1;5;2;13;0;23;79;66
"periodismo";0;0;0;57;1;14;59;10
"orcid";0;0;0;0;2;14;62;5
"0000";0;0;0;0;2;12;42;4
"0001";0;0;0;0;0;2;16;4
"ub";0;0;0;0;0;7;33;2
"desempeñar";10;2;3;20;5;46;121;64
"madrid";13;1;0;0;4;19;53;41
"interdisciplinar";1;0;0;0;0;6;16;10
"gira";0;0;1;2;0;1;4;4
"empírico";7;3;1;5;1;14;30;34
"desafiantes";2;0;1;3;0;4;14;12
"school";1;0;3;10;0;30;52;179
"management";3;0;1;2;0;22;40;57
"generalitat";0;0;0;0;0;1;17;1
"cataluña";3;0;0;0;0;7;55;6
"observatorio";6;0;0;7;0;3;24;26
"whisper";0;0;0;0;0;3;16;1
"perplexity";0;0;0;0;0;8;106;16
"complementario";2;0;2;4;2;17;87;45
"inicialmente";6;0;1;2;1;7;40;9
"posteriormente";8;1;1;3;1;21;75;45
"entrevistar";0;0;0;2;1;7;96;3
"obtención";3;0;0;4;1;6;36;20
"asimismo";2;3;19;5;0;30;159;154
"innovar";3;0;1;2;0;13;25;33
"realización";5;1;2;5;3;32;114;59
"propiamente";0;1;0;2;0;0;8;1
"lengua";4;1;2;4;10;29;83;72
"temático";0;0;0;8;0;0;11;15
"verbal";8;0;1;1;0;11;31;11
"protocolo";8;0;2;0;0;18;88;31
"enfrentar";29;0;9;27;2;72;277;194
"considerable";19;3;7;1;2;12;16;16
"gil";0;0;0;0;0;1;23;13
"zúñiga";0;0;0;0;0;2;8;0
"llegada";8;1;0;2;0;40;30;39
"vía";13;0;7;13;2;28;48;35
"cuantitativas";0;0;0;0;0;0;15;4
"cualitativas";0;0;0;0;0;0;19;6
"exploraremos";0;0;0;0;0;1;12;1
"examinar";13;0;2;17;1;62;116;50
"centraremos";0;0;0;0;0;2;9;1
"adentrar";0;0;0;0;0;0;7;4
"detalladamente";0;0;0;0;0;2;9;3
"premisa";3;0;1;0;1;7;28;31
"ilustración";6;0;0;3;1;21;29;9
"juicio";40;1;1;10;0;46;67;49
"alinear";0;0;1;1;0;5;46;46
"adecuación";1;0;2;1;0;4;31;26
"hilo";2;0;0;0;0;8;10;6
"subjetivo";25;0;0;0;2;4;17;10
"sustituir";6;0;3;11;3;24;39;39
"intelectual";76;0;4;10;0;46;139;100
"evaluadas";0;0;0;0;0;7;14;14
"frente";20;4;11;17;1;54;154;104
"planteamiento";2;1;0;0;0;12;57;14
"guían";0;0;1;1;0;4;22;7
"agrupar";1;1;0;2;7;9;43;20
"encaminar";0;3;1;3;1;10;10;3
"arrojar";2;0;0;0;0;19;27;32
"percepción";30;1;3;13;1;63;329;210
"heterogeneidad";0;0;0;0;0;4;8;2
"matiz";1;0;1;1;0;6;30;9
"requerimiento";0;0;0;0;0;18;28;14
"atento";3;0;1;1;0;7;17;15
"adoptar";28;5;25;42;5;77;232;164
"convenir";8;1;0;0;0;19;27;14
"muestral";0;0;0;0;0;1;5;5
"probabilístico";0;0;0;0;0;2;7;3
"solventar";0;0;0;0;0;3;12;4
"conveniencia";0;0;0;0;0;1;10;5
"intencional";0;0;0;5;3;2;15;8
"bola";5;0;0;0;0;0;6;2
"nieve";2;0;0;0;0;10;4;3
"diseñe";0;0;0;0;0;3;5;5
"representativo";1;0;0;9;3;6;31;16
"generalización";1;0;0;0;0;2;22;6
"contextuales";7;0;0;3;0;3;17;6
"enfatizar";1;2;0;0;0;11;18;17
"dotar";2;2;5;5;0;16;40;18
"vasto";1;0;0;3;0;3;29;17
"rgpd";1;1;0;7;6;0;19;6
"unión";14;3;4;34;7;12;132;22
"unión europea";2;0;2;12;20;1;85;16
"comisión";5;1;7;21;14;8;75;22
"2016";31;0;49;120;7;104;243;180
"motivar";13;0;0;4;1;40;73;63
"alternativamente";3;0;0;1;0;2;4;0
"cara";10;3;3;2;1;31;46;46
"revelar|reveler";5;0;1;3;0;8;35;10
"adicionalmente";0;0;0;0;0;5;33;5
"plenamente";3;0;0;10;2;6;47;23
"tratarse";1;0;1;1;1;3;8;8
"institución";11;6;19;35;2;164;682;323
"generalmente";7;5;2;1;4;18;34;10
"comité";5;0;5;6;0;19;59;23
"acudir";5;1;0;0;0;8;7;11
"organismo";6;0;5;11;1;21;70;17
"obstante";53;1;6;17;1;33;95;71
"adulto";14;1;3;6;0;23;38;63
"permiso";6;0;1;0;0;7;26;13
"énfasis";4;4;6;4;0;16;62;41
"recoger";39;0;3;9;16;46;158;80
"grabación";3;0;0;3;5;11;19;12
"emisor";0;0;0;1;0;3;6;0
"comunicarse";6;1;0;2;2;16;19;16
"descargar";6;0;0;0;0;3;18;4
"botón";7;1;0;0;0;27;28;8
"voice";0;0;1;5;0;1;7;10
"sintético";3;1;1;3;0;5;35;8
"seguidamente";0;0;0;0;0;0;7;4
"icono";1;0;0;0;0;4;14;16
"clic";1;0;1;1;0;30;36;14
"ventana";3;1;1;0;2;24;43;3
"reunir";21;2;1;16;3;24;32;13
"chino";7;1;25;70;0;91;71;17
"inverso";1;0;1;1;0;0;10;5
"contestar";0;0;0;0;2;16;18;16
"ocasión";18;0;1;2;2;31;53;33
"text";0;0;0;1;4;19;49;49
"replicate";0;0;0;0;0;0;15;1
"categoría";16;4;4;16;3;149;169;43
"file";0;0;0;2;0;4;24;4
"run";0;0;0;0;0;6;5;4
"translate";1;0;0;3;0;2;4;0
"resto";17;0;5;1;6;34;51;48
"formalizar";0;0;0;1;0;2;7;1
"darse";5;0;4;2;0;8;18;8
"conectarse";2;0;0;2;0;5;10;25
"sensación";12;0;0;0;0;16;18;15
"tras";28;0;3;5;3;36;157;125
"ampliación";0;0;4;1;0;7;31;7
"nlp";0;0;1;5;1;7;28;11
"1986";7;0;1;3;0;4;14;7
"chatbot";0;7;0;4;0;281;155;113
"dis";0;0;6;2;1;10;49;27
"impedir";9;0;1;17;0;12;25;23
"diverso";3;0;0;3;1;5;34;14
"exigencia";0;0;2;1;1;7;31;11
"elicit";0;0;0;0;0;1;33;3
"scispace";0;0;0;0;0;2;22;3
"concretamente";0;0;0;2;0;7;20;19
"reiterar";1;0;0;2;0;2;6;5
"entenderse";0;2;0;3;1;7;11;10
"aportación";1;0;0;3;0;11;34;22
"tomarse";1;1;0;0;0;4;6;1
"definitivo";2;0;0;3;1;10;68;49
"llevarse";2;0;0;1;1;8;6;4
"investigativa";0;0;0;0;0;26;8;0
"proposición";3;0;0;0;0;6;8;3
"eur";0;1;2;4;0;2;11;6
"lex";0;0;0;0;0;3;12;6
"eu";0;0;1;21;11;6;79;24
"summary";0;0;2;1;0;3;5;4
"data";73;4;24;72;14;84;356;245
"protection";0;0;0;23;0;1;20;27
"regulation";0;0;1;3;0;8;11;8
"gdpr";3;0;1;4;0;0;15;8
"scholarly";0;0;0;1;0;4;12;1
"definition";0;0;0;1;0;4;16;4
"communication";0;0;0;15;0;18;49;53
"political";0;0;0;5;0;1;5;2
"advancing";0;0;0;3;0;3;6;3
"framework";0;0;0;7;1;13;101;50
"cuantitativa";3;0;0;0;0;2;23;13
"interview";0;0;0;2;0;1;4;7
"designing";1;0;0;1;0;10;11;5
"testing";0;0;1;2;0;1;8;4
"qualitative";0;0;0;0;0;1;30;9
"evaluation";0;0;2;2;0;11;41;38
"systems";2;4;11;9;2;41;61;95
"issues";0;0;3;14;0;13;43;32
"approaches";0;0;1;2;0;6;35;15
"ieee";1;0;6;8;1;14;43;36
"atlas";0;0;0;0;0;13;17;3
"paradigma";12;0;0;7;0;29;64;53
"five";0;0;0;3;0;5;10;13
"priorities";0;0;1;1;0;1;1;11
"224";0;0;1;0;0;1;10;6
"226";0;0;1;1;0;4;3;4
"index";6;0;2;10;1;16;73;50
"micro";0;1;1;1;1;3;35;13
"edutic";0;0;0;0;0;0;19;0
"ene";0;0;0;0;0;0;4;11
"dic";0;0;0;0;0;0;7;22
"manifiesto";4;0;0;2;0;6;41;26
"nov";0;0;0;3;1;1;8;0
"may";0;0;0;24;0;49;135;80
"tic";2;2;8;75;0;29;358;374
"francisco";13;1;0;0;1;16;45;29
"ramírez";0;0;0;0;0;7;60;15
"antecedente";3;0;4;2;0;14;50;14
"disruptiva";2;0;1;0;0;3;18;13
"proyectar";3;0;5;0;0;14;22;17
"latinoamérica";1;0;1;0;0;3;20;3
"rrss";0;0;0;0;0;0;14;9
"linkedin";5;0;0;1;0;5;19;79
"03";3;1;2;7;0;22;52;20
"cierre";4;0;0;5;0;10;29;15
"chile";0;0;7;11;0;12;114;40
"colombia";0;2;33;1;0;16;51;11
"perú";0;0;28;1;0;25;57;11
"méxico";4;1;32;1;0;33;210;64
"ecuador";0;0;4;1;0;18;32;12
"ies";0;0;0;0;0;242;147;26
"crecimiento";27;7;80;14;2;62;157;54
"estatal";3;0;6;2;0;13;35;8
"privado";26;2;34;92;0;147;143;80
"mitad";9;2;1;3;0;22;28;29
"hacerlas";0;1;0;1;0;3;6;1
"pertinente";0;0;3;19;7;19;80;33
"predictivo";4;0;2;8;0;11;51;12
"lms";0;0;1;0;0;2;29;7
"sis";0;0;9;0;1;4;25;15
"crm";0;0;0;0;0;1;5;13
"estudiantil";3;0;1;1;0;26;137;54
"descenso";0;0;1;0;0;1;3;9
"consolidar";0;0;0;3;0;22;79;25
"uniforme";3;0;0;1;2;4;16;7
"peso";26;5;1;3;12;15;41;29
"deberse";1;1;1;2;0;2;6;2
"listado";2;0;0;0;0;17;27;9
"tutorías";0;1;1;1;0;14;32;14
"nube";36;0;3;15;2;20;54;8
"contraste";7;1;2;0;0;11;41;19
"piloto";7;0;4;9;1;8;41;25
"bajar";3;0;3;2;0;4;11;7
"veloz";0;0;0;1;2;4;8;1
"edtech";0;0;0;0;0;26;22;9
"externo";8;0;6;4;2;25;86;51
"cerca";21;0;2;5;8;23;40;13
"disposición";9;0;4;16;1;29;88;50
"mover";52;1;4;2;4;36;42;25
"intencionado";1;0;0;0;1;1;13;6
"porcentual";0;0;1;1;0;0;13;19
"ud";0;0;0;0;0;2;9;0
"potenciar";11;3;8;4;0;40;168;111
"bard";0;0;0;0;0;14;71;71
"detección";4;2;2;19;4;47;176;58
"percibir";63;2;0;6;0;71;135;88
"chatbots";1;0;7;14;0;433;243;95
"madurez";1;0;2;0;0;2;48;15
"fortalecimiento";0;0;0;7;0;7;27;15
"restringir";8;0;0;6;0;11;17;18
"restricción";6;0;1;7;1;10;45;23
"temprano";12;4;5;2;3;31;97;30
"consolidación";0;0;2;1;0;5;26;3
"visualizar";4;1;0;1;1;18;55;27
"contrastar";2;0;0;0;0;14;50;42
"dispersión";1;0;0;0;0;0;12;5
"ciones";0;0;13;4;1;16;87;62
"aceleración";3;0;3;0;0;12;15;6
"mas";7;0;10;2;0;5;46;57
"impulso";9;2;1;1;0;10;35;9
"persistir";0;1;1;0;1;5;12;12
"regulatorias";2;1;2;3;1;1;11;0
"soportar";4;1;0;0;0;13;29;8
"exponencial";5;0;0;3;1;15;34;10
"matrícula";2;0;2;1;0;8;29;12
"borde";2;0;0;0;1;7;8;2
"disrupciones";2;0;1;0;0;4;4;2
"latinoamericano";0;0;4;0;1;12;55;14
"portal";0;0;1;4;0;8;23;8
"congreso";3;0;2;1;1;17;38;20
"webinar";0;0;0;0;0;4;6;0
"insight";0;0;1;3;0;2;6;5
"octubre";6;0;3;4;2;26;26;24
"presencial";0;0;0;2;0;37;85;57
"suscripción";0;0;0;0;0;5;12;6
"anual";4;1;16;8;0;7;26;12
"santiago";0;0;0;0;0;13;28;11
"alfabetización";12;6;1;19;2;68;305;159
"rafael";0;0;1;0;0;3;12;4
"pastor";1;0;0;0;0;3;10;3
"vertiginosa";0;0;0;0;0;1;5;9
"incertidumbre";5;0;5;6;0;22;43;99
"profesorado";0;1;0;1;21;105;674;304
"obsolescencia";0;0;0;0;0;0;6;12
"preliminar";0;0;0;2;1;5;23;27
"estable";5;0;4;1;0;8;20;19
"centre";1;0;5;3;0;5;18;11
"permanencia";1;0;0;0;0;10;6;3
"duradero";1;0;1;0;0;9;12;20
"regir";2;0;2;4;1;10;21;8
"justificación";8;0;0;0;0;2;39;13
"radicar";1;0;2;3;0;18;50;54
"sustentar";4;2;0;5;3;11;49;27
"caracterizar";6;2;2;3;6;16;66;45
"robusto";1;0;1;8;0;2;50;25
"exclusivamente";7;0;0;1;0;18;41;34
"formativos";0;0;2;0;0;8;60;25
"fiable";7;0;2;4;23;15;57;15
"rapidez";8;0;1;0;0;10;22;12
"emerger";1;0;1;0;0;15;106;56
"terreno";12;0;1;1;1;13;34;10
"estabilidad";4;0;3;0;0;2;6;4
"conductor";34;1;4;2;0;12;22;6
"equipar";3;0;2;1;1;12;30;12
"evolutivo";4;0;0;1;0;9;11;12
"progresivo";1;0;0;1;1;4;24;23
"fundacional";0;0;0;1;0;2;5;3
"espontáneo";4;0;0;0;0;1;9;8
"test";5;1;2;4;0;36;42;58
"hitar";0;0;1;1;0;4;26;7
"familiarizarse";0;0;0;0;0;4;13;15
"distinción";2;0;0;5;2;6;14;15
"estrecho";5;0;5;9;0;12;35;17
"adecuadamente";4;0;0;6;6;21;54;35
"aspirar";5;0;1;1;0;3;18;14
"particularmente";12;0;4;9;0;34;82;54
"efectivamente";7;0;0;3;3;13;35;33
"reflexivo";7;0;0;1;1;34;81;145
"neutral";0;0;0;4;0;8;27;22
"corazón";8;0;1;1;4;10;7;11
"operativo";3;4;1;3;0;6;95;21
"diferir";1;0;0;2;0;4;15;6
"adaptarse";7;1;1;8;4;63;196;129
"óptimo";5;0;4;5;0;10;45;22
"modalidad";0;0;0;2;1;22;155;61
"pilar";4;0;1;6;2;12;52;32
"definirse";1;0;0;2;0;2;10;5
"explícitamente";4;2;0;1;2;10;39;14
"samuel";0;0;2;1;0;5;1;4
"válido";4;2;0;2;0;13;29;15
"computador";3;2;10;1;0;0;22;26
"inferir";1;1;1;3;4;4;12;10
"explícito";5;2;3;11;3;18;69;23
"big";51;4;8;18;3;45;87;48
"intuitiva";2;0;0;0;0;2;22;11
"ampliamente";1;1;4;10;3;29;54;32
"regresión";0;0;0;2;0;3;20;13
"discreto";1;1;0;1;0;5;7;1
"email";2;0;0;0;2;2;2;9
"precio";31;1;5;4;1;11;9;28
"vivienda";7;0;1;1;0;3;1;8
"vector";0;1;1;5;6;1;19;7
"cercano";7;3;1;2;7;24;37;32
"instancia";2;0;1;6;1;32;71;42
"clustering";0;0;0;0;3;0;4;4
"means";0;0;0;4;0;2;21;19
"jerárquico";7;0;0;0;1;2;5;4
"reducción";6;1;4;1;3;19;53;41
"dimensionalidad";1;0;0;2;0;0;1;7
"recompensa";0;0;0;2;0;4;31;17
"sobreajuste";1;0;0;0;0;0;2;7
"subyacente";4;1;0;9;1;7;27;19
"cruzar";10;0;0;2;0;18;12;7
"perpetuar";0;0;0;7;0;12;21;22
"perceptrón";7;0;0;3;0;0;30;12
"inflexión";0;0;0;0;0;5;13;14
"frank";4;0;0;1;0;2;12;2
"rosenblatt";4;0;0;2;0;0;6;2
"1957";4;0;0;0;0;0;7;1
"trascender";0;0;1;1;0;5;16;26
"simplicidad";4;0;0;0;0;0;10;4
"aparente";0;0;0;0;1;4;7;9
"sofisticar";89;0;0;3;1;12;33;34
"vivo";5;2;0;3;1;25;29;19
"análogo";1;0;1;1;0;2;8;10
"activación";2;0;0;3;0;3;8;4
"analogía";8;0;0;1;0;4;7;2
"suma";8;1;1;5;2;29;41;21
"ponderar";0;0;0;2;0;0;11;10
"relativo";11;4;4;26;3;42;59;55
"subyace";0;0;0;0;0;3;5;4
"separar";17;0;5;4;10;20;27;15
"recto";7;0;0;0;18;4;7;2
"seymour";0;2;0;1;0;1;5;2
"papert";0;4;0;3;0;3;18;3
"1969";1;1;0;2;0;3;5;2
"multicapa";0;0;0;1;0;1;8;2
"fluir";5;0;0;2;0;9;22;24
"standard";4;0;7;14;5;93;144;63
"memoria";25;1;1;4;2;40;66;13
"unit";0;0;1;0;0;1;3;13
"tutoría";11;8;2;13;6;56;153;36
"confluencia";1;0;0;0;0;1;5;15
"incremento";0;0;7;4;0;20;29;19
"revolucionado";1;0;0;0;0;9;14;5
"2014";33;0;20;41;6;78;171;98
"vision";0;0;2;4;0;5;19;11
"engagement";0;0;0;1;0;5;15;41
"long";0;0;0;2;0;10;23;20
"short";0;0;0;1;0;4;6;6
"term";0;0;0;2;0;4;3;12
"gru";0;0;0;0;0;4;3;3
"ruido";5;0;0;0;1;12;23;5
"gans";0;0;0;3;0;0;5;4
"goodfellow";0;0;0;7;0;5;2;9
"competir";4;0;3;3;0;12;11;14
"discriminador";0;0;0;0;0;8;0;3
"datasets";1;0;0;0;0;4;5;4
"autenticidad";1;0;0;0;0;6;43;17
"transferencia";14;2;5;5;0;15;55;21
"significativamente";10;0;4;1;0;34;116;68
"expandir";1;1;2;2;0;30;37;32
"desaparecer";11;0;3;2;0;12;9;8
"señal";20;0;2;10;6;20;82;10
"arquitectónico";0;0;0;0;0;3;15;2
"attention";0;0;0;4;0;2;23;14
"mechanisms";0;0;0;2;0;1;5;3
"caja meditérraneo";1;0;4;1;0;3;12;12
"few";0;0;0;2;0;1;8;8
"shot";0;0;0;1;0;0;10;13
"sexto";1;0;0;0;0;5;8;12
"gen";1;0;0;5;0;4;33;23
"influyente";7;0;2;0;0;8;11;3
"paper";1;0;6;3;2;23;33;19
"vaswani";0;0;0;0;0;0;6;4
"2017";73;2;56;238;16;112;214;178
"revolución";32;4;25;16;4;62;129;63
"secuencial";0;0;0;1;0;14;7;5
"dinámicamente";0;0;0;3;0;0;10;5
"cross";0;0;0;0;1;2;8;10
"componer";15;1;2;4;2;27;61;46
"contextualizadas";6;0;0;0;0;4;10;12
"modular";0;0;0;0;0;3;5;7
"versátil";2;0;0;0;0;5;29;7
"impactante";0;0;0;1;0;0;4;7
"corpus";5;1;0;1;46;0;9;10
"extraordinario";7;0;1;1;0;8;19;10
"variante";0;2;1;0;12;9;11;11
"bidireccional";3;0;0;0;0;0;6;7
"fascinante";8;0;0;0;1;8;14;3
"aritmético";7;1;1;2;0;9;7;1
"vastas";0;0;0;0;0;1;4;12
"amplificar";0;0;1;3;1;2;23;19
"demográficos";4;0;1;2;0;2;18;3
"autoría";0;0;0;0;11;19;100;32
"prompting";0;0;0;0;0;32;19;9
"chain";0;0;0;0;0;0;6;4
"thought";1;1;0;1;0;0;6;8
"multimodales";0;0;0;0;0;1;7;6
"limitarse";1;0;0;3;0;3;9;19
"holística";1;0;0;2;0;7;17;25
